wikidata_id	n	label
P1908	1	CWGC person ID
P2015	1	Hansard (1803–2005) ID
P2018	1	Teuchos ID
P2042	1	Artsy artist ID
P2168	1	Swedish Film Database person ID
P2401	1	Six Degrees of Francis Bacon ID
P2418	1	Structurae person ID
P2450	1	Encyclopædia Britannica contributor ID
P2498	1	Catalan Biographical Dictionary of Women ID
P2604	1	Kinopoisk person ID
P2889	1	FamilySearch person ID
P2940	1	Catalogus Professorum Rostochiensium ID
P2944	1	Plarr ID
P2963	1	Goodreads author ID
P3074	1	Grace's Guide ID
P3188	1	Nobel prize ID
P3269	1	Fotografen.nl ID
P3299	1	student register of the University of Helsinki ID (1640–1852)
P3307	1	Galiciana Author ID
P3368	1	Prabook ID
P3372	1	Auckland Art Gallery artist ID
P3475	1	SANU member ID
P3595	1	BLF article ID
P3835	1	Mendeley person ID
P3887	1	KVAB member ID
P3935	1	Chamber of Deputies of Italy storia ID
P3997	1	Bait La Zemer Ha-Ivri artist ID
P4145	1	Athenaeum person ID
P4177	1	Finnish National Gallery artist ID
P4285	1	Theses.fr person ID
P4286	1	Nominis saint ID
P4369	1	Cairn author ID
P4590	1	Atomic Heritage Foundation ID
P4613	1	Encyclopedia of Modern Ukraine ID
P4687	1	Dictionnaire des peintres belges ID
P4862	1	Amazon author ID
P4872	1	GEPRIS person ID
P4887	1	Web umenia creator ID
P4891	1	Patrons de France ID
P4928	1	Ricorso author ID
P4992	1	DBA ID
P5259	1	Swedish Gravestone ID
P5306	1	LONSEA people ID
P5333	1	Bérose ID
P5341	1	Poetry Foundation ID
P5372	1	Dictionnaire critique des historiens de l'art ID
P5415	1	Whonamedit? doctor ID
P5441	1	Herder Encyclopedia author ID
P5459	1	RHE doctor ID
P5469	1	Mormon Literature and Creative Arts Database artist ID
P5489	1	artist-info artist ID
P5491	1	BD Gest' author ID
P5492	1	EDIT16 catalogue author ID
P5508	1	archINFORM person or group ID
P5516	1	Virtual Laboratory person ID
P5528	1	Belgian Heritage in Brazil ID
P5541	1	Paris Faculty of Science professor ID
P5570	1	NooSFere author ID
P5613	1	Bibliothèque de la Pléiade ID
P5641	1	PRELIB person ID
P5859	1	Adelphi author ID
P5882	1	Muziekweb performer ID
P6015	1	Handbook of Texas ID
P6058	1	Larousse ID
P6181	1	Disney A to Z ID
P6282	1	French Academy of Sciences member ID
P6284	1	NCpedia ID
P6342	1	Dictionnaire des Wallons ID
P6362	1	Litchfield Ledger ID
P6404	1	Dizionario di Storia Treccani ID
P6634	1	LinkedIn personal profile ID
P6683	1	Alexander Turnbull Library Name ID
P6734	1	Archaeology Data Service person ID
P687	1	BHL Page ID
P7077	1	Paris Foreign Missions Society ID
P7142	1	Poincaré Papers person ID
P7278	1	Peakbagger climber ID
P7293	1	NLP ID (record)
P781	1	SIKART ID
